ColName,ScreenableValues
IRPNRNM30FQ,0:30
IRTRQNM30FQ,0:30
IRSTMNM30FQ,0:30
IRSEDNM30FQ,0:30
IRCIGAGE,1:130
IRCGRAGE,1:130
IRSMKLSSTRY,1:130
IRALCAGE,1:130
IRMJAGE,1:130
IRCOCAGE,1:130
IRCRKAGE,1:130
IRHERAGE,1:130
IRHALLUCAGE,1:130
IRLSDAGE,1:130
IRPCPAGE,1:130
IRECSTMOAGE,1:130
IRINHALAGE,1:130
IRMETHAMAGE,1:130
IRPNRNMINIT,1:2
IRTRQNMINIT,1:2
IRSTMNMINIT,1:2
IRSEDNMINIT,1:2
IRPNRNMYFU,1:2
IRPNRNMAGE,1:130
IRTRQNMAGE,1:130
IRSTMNMAGE,1:130
IRSEDNMAGE,1:130
CIGFLAG,0:1
CIGYR,0:1
CIGMON,0:1
CGRFLAG,0:1
CGRYR,0:1
CGRMON,0:1
PIPFLAG,0:1
PIPMON,0:1
SMKLSSFLAG,0:1
SMKLSSYR,0:1
SMKLSSMON,0:1
TOBFLAG,0:1
TOBYR,0:1
TOBMON,0:1
ALCFLAG,0:1
ALCYR,0:1
ALCMON,0:1
MRJFLAG,0:1
MRJYR,0:1
MRJMON,0:1
COCFLAG,0:1
COCYR,0:1
COCMON,0:1
CRKFLAG,0:1
CRKYR,0:1
CRKMON,0:1
HERFLAG,0:1
HERYR,0:1
HERMON,0:1
HALLUCFLAG,0:1
HALLUCYR,0:1
HALLUCMON,0:1
LSDFLAG,0:1
LSDYR,0:1
LSDMON,0:1
PCPFLAG,0:1
PCPYR,0:1
PCPMON,0:1
ECSTMOFLAG,0:1
ECSTMOYR,0:1
ECSTMOMON,0:1
DAMTFXFLAG,0:1
DAMTFXYR,0:1
DAMTFXMON,0:1
KETMINFLAG,0:1
KETMINYR,0:1
KETMINMON,0:1
SALVIAFLAG,0:1
SALVIAYR,0:1
SALVIAMON,0:1
INHALFLAG,0:1
INHALYR,0:1
INHALMON,0:1
METHAMFLAG,0:1
METHAMYR,0:1
METHAMMON,0:1
PNRANYFLAG,0:1
PNRANYYR,0:1
OXYCNANYYR,0:1
TRQANYFLAG,0:1
TRQANYYR,0:1
STMANYFLAG,0:1
STMANYYR,0:1
SEDANYFLAG,0:1
SEDANYYR,0:1
PSYANYFLAG,0:1
PSYANYYR,0:1
PNRNMFLAG,0:1
PNRNMYR,0:1
PNRNMMON,0:1
OXYCNNMYR,0:1
TRQNMFLAG,0:1
TRQNMYR,0:1
TRQNMMON,0:1
STMNMFLAG,0:1
STMNMYR,0:1
STMNMMON,0:1
SEDNMFLAG,0:1
SEDNMYR,0:1
SEDNMMON,0:1
PSYCHFLAG,0:1
PSYCHYR,0:1
PSYCHMON,0:1
OPINMYR,0:1
OPINMMON,0:1
ILLFLAG,0:1
ILLYR,0:1
ILLMON,0:1
MJONLYFLAG,0:1
MJONLYYR,0:1
MJONLYMON,0:1
ILLEMFLAG,0:1
ILLEMYR,0:1
ILLEMMON,0:1
CDUFLAG,0:1
DCIGMON,0:1
CDCGMO,0:1
CDNOCGMO,0:1
CIGALCMO,1:4
BNGDRKMON,0:1
HVYDRKMON,0:1
BNGHVYMON,1:4
ILTOBALCMN,0:1
ILLALCMON,0:1
TOBALCMN,0:1
ILLANDALC,0:1
ILLORALC,0:1
ILLALCFLG,0:1
PEYOTE2,0:1
MESC2,0:1
PSILCY2,0:1
AMYLNIT2,0:1
CLEFLU2,0:1
GAS2,0:1
GLUE2,0:1
ETHER2,0:1
SOLVENT2,0:1
LGAS2,0:1
NITOXID2,0:1
FELTMARKR2,0:1
SPPAINT2,0:1
AIRDUSTER2,0:1
OTHAEROS2,0:1
HYDCPDAPYU,0:1
ZOHYANYYR2,0:1
OXCOPDAPYU,0:1
TRAMPDAPYU,0:1
CODEPDAPYU,0:1
MORPPDAPYU,0:1
FENTPDAPYU,0:1
BUPRPDAPYU,0:1
OXYMPDAPYU,0:1
DEMEPDAPYU,0:1
HYDMPDAPYU,0:1
MTDNPDAPYU,0:1
PNROTANYR2,0:1
TRBENZAPYU,0:1
ALPRPDAPYU,0:1
LORAPDAPYU,0:1
CLONPDAPYU,0:1
DIAZPDAPYU,0:1
MUSRLXAPYU,0:1
CYCLPDAPYU,0:1
SOMAPDAPYU,0:1
TRQOTANYR2,0:1
AMMEPDAPYU,0:1
AMPHETAPYU,0:1
METHPDAPYU,0:1
ANOSTMAPYU,0:1
PROVPDAPYU,0:1
STMOTANYR2,0:1
ZOLPPDAPYU,0:1
ESZOPDAPYU,0:1
ZALEPDAPYU,0:1
SVBENZAPYU,0:1
TRIAPDAPYU,0:1
TEMAPDAPYU,0:1
FLURPDAPYU,0:1
BARBITAPYU,0:1
SEDOTANYR2,0:1
HYDCPDPYMU,0:1
OXCOPDPYMU,0:1
TRAMPDPYMU,0:1
CODEPDPYMU,0:1
MORPPDPYMU,0:1
FENTPDPYMU,0:1
BUPRPDPYMU,0:1
OXYMPDPYMU,0:1
DEMEPDPYMU,0:1
HYDMPDPYMU,0:1
MTDNPDPYMU,0:1
PNROTHPYMU2,0:1
TRBENZPYMU,0:1
ALPRPDPYMU,0:1
LORAPDPYMU,0:1
CLONPDPYMU,0:1
DIAZPDPYMU,0:1
MUSRLXPYMU,0:1
CYCLPDPYMU,0:1
SOMAPDPYMU,0:1
TRQOTHPYMU2,0:1
AMMEPDPYMU,0:1
AMPHETPYMU,0:1
METHPDPYMU,0:1
ANOSTMPYMU,0:1
PROVPDPYMU,0:1
STMOTHPYMU2,0:1
ZOLPPDPYMU,0:1
ESZOPDPYMU,0:1
SVBENZPYMU,0:1
SEDOTHPYMU2,0:1
CIGAFU,1:4
DCIGAFU,1:4
ALCAFU,1:4
ALCAFU2,1:5
ALCAFU3,1:5
MJAFU,1:4
ALCYDAYS,1:6
MRJYDAYS,1:6
COCYDAYS,1:6
HALLNDAYYR,1:6
INHNDAYYR,1:6
METHNDAYYR,1:6
CIGMDAYS,1:6
ALCMDAYS,1:5
MRJMDAYS,1:5
COCMDAYS,1:5
HALLNDAYPM,1:5
INHNDAYPM,1:5
METHNDAYPM,1:5
PNRNDAYPM,1:5
TRQNDAYPM,1:5
STMNDAYPM,1:5
SEDNDAYPM,1:5
CIGPDAY,1:6
CIG1PACK,0:1
ALCNUMDKPM,1:2000
FUCIG18,1:2
FUCIG21,1:2
FUCD218,1:2
FUCD221,1:2
FUCGR18,1:2
FUCGR21,1:2
FUSMKLSS18,1:2
FUSMKLSS21,1:2
FUALC18,1:2
FUALC21,1:2
FUMJ18,1:2
FUMJ21,1:2
FUCOC18,1:2
FUCOC21,1:2
FUCRK18,1:2
FUCRK21,1:2
FUHER18,1:2
FUHER21,1:2
FUHALLUC18,1:2
FUHALLUC21,1:2
FULSD18,1:2
FULSD21,1:2
FUPCP18,1:2
FUPCP21,1:2
FUECSTMO18,1:2
FUECSTMO21,1:2
FUINHAL18,1:2
FUINHAL21,1:2
FUMETHAM18,1:2
FUMETHAM21,1:2
FUPNRNM18,1:2
FUPNRNM21,1:2
FUTRQNM18,1:2
FUTRQNM21,1:2
FUSTMNM18,1:2
FUSTMNM21,1:2
FUSEDNM18,1:2
FUSEDNM21,1:2
COLDMEDS,1:2
COLDREC,1:3
GHB,1:2
GHBREC,1:3
COCNEEDL,1:2
CONDLREC,1:3
HERSMOKE,1:2
HRSMKREC,1:3
HERSNIFF,1:2
HRSNFREC,1:3
HERNEEDL,1:2
METHNEEDL,1:2
METHNDLRC,1:3
OTDGNEDL,1:2
OTDGNDLRC,1:3
GNNDREUS,1:2
GNNDLSH1,1:2
GNNDCLEN,1:2
GNNDLSH2,1:2
ANYNDLREC,1:3
CHMNDLREC,1:3
ANYNEEDL,0:1
NEDHER,0:1
NEDCOC,0:1
METHNEEDL2,0:1
HERSMOK2,0:1
HERSNIF2,0:1
COLDFLGR,0:1
COLDYRR,0:1
COLDMONR,0:1
GHBFLGR,0:1
GHBYRR,0:1
